Title,MapType,MatchMode,MatchToken2,Priority,OutputCode,FolderName,DefaultBrand,DefaultBrandFolder,Cadence,QlikOnly,Active
LB PB,Brand,Token,,5,LB-PB,LB PB,,,,Yes,Yes
RL,Brand,Token,,2,RL,RL,,,,Yes,Yes
MG,Brand,Token,,2,MG,MG,,,,Yes,Yes
MS,Brand,Token,,2,MS,MS,,,,Yes,Yes
VA,Brand,Token,,2,VA,VA,,,,Yes,Yes
SS,Brand,Token,,2,SS,SS,,,,Yes,Yes
BF,Brand,Token,,2,BF,BF,,,,Yes,Yes
PB,Brand,Token,,2,PB,PB,,,,Yes,Yes
4 5 4 CALENDAR,Calendar,Token,,200,454,,,,,No,Yes
SUPPLIER FISCAL CALENDAR,Calendar,Token,,200,SUPPLIER,,,,,No,Yes
SUPPLIER,Calendar,EndsWith,,100,SUPPLIER,,,,,No,Yes
NRF,Calendar,EndsWith,,100,NRF,,,,,No,Yes
